Key,Title,Year,Venue,Categories
arxiv_2004_13651,Fast and Memory-Efficient Neural Code Completion,2020,IEEE Working Conference on Mining Software Repositories,3b-EarlyExit; 3l-CodeSpecific
2204_09877,Non-autoregressive Model for Full-line Code Completion,2022,arXiv preprint,3c-NAR
2303_05378,Greener yet Powerful: Taming Large Code Generation Models with Quantization,2023,arXiv preprint,3g-PTQ
2303_07457,AMOM: Adaptive Masking over Masking for Conditional Masked Language Model,2023,AAAI,3c-NAR
2305_11860,Let's Sample Step by Step: Adaptive-Consistency for Efficient Reasoning and Coding with LLMs,2023,EMNLP,3j-Sampling
2309_14021,LORD: Low Rank Decomposition Of Monolingual Code LLMs For One-Shot Compression,2023,arXiv preprint,3h-ModelPruning
2312_08583,ZeroQuant(4+2): Redefining LLMs Quantization with a New FP6-Centric Strategy for Diverse Generative Tasks,2023,arXiv preprint,3g-PTQ
2312_11511,ComplexityNet: Increasing LLM Inference Efficiency by Learning Task Complexity,2023,arXiv preprint,3i-Routing
2312_13010,AgentCoder: Multi-Agent-based Code Generation with Iterative Testing and Optimisation,2023,arXiv preprint,3k-MultiAgent
arxiv_2312_05562,Chain-of-Thought in Neural Code Generation: From and for Lightweight Language Models,2023,IEEE Transactions on Software Engineering,3o-CoTOpt; 2c-Distillation
2401_09964,When Neural Code Completion Models Size up the Situation: Attaining Cheaper and Faster Completion through Dynamic Model Inference,2024,ICSE,3b-EarlyExit
2402_14323,REPOFUSE: Repository-Level Code Completion with Fused Dual Context,2024,arXiv preprint,3e-ContextPruning
2403_10059,Repoformer: Selective Retrieval for Repository-Level Code Completion,2024,ICML,3e-ContextPruning
2404_16333,AI Coders Are Among Us: Rethinking Programming Language Grammar Towards Efficient Code Generation,2024,ISSTA,3l-CodeSpecific
2405_15208,Decoding at the Speed of Thought: Harnessing Parallel Decoding of Lexical Units for LLMs,2024,LREC/COLING,3a-SpeculativeDecoding
2405_15842,Model Cascading for Code: A Cascaded Black-Box Multi-Model Framework for Cost-Efficient Code Completion with Self-Testing,2024,IJCNN,3i-Routing
2406_10263,A Lightweight Framework for Adaptive Retrieval In Code Completion With Critique Model,2024,arXiv preprint,3e-ContextPruning
2406_18294,Hierarchical Context Pruning: Optimizing Real-World Code Completion with Repository-Level Pretrained Code LLMs,2024,AAAI,3e-ContextPruning
2407_03157,Let the Code LLM Edit Itself When You Edit the Code,2024,ICLR,3f-KVCache
2407_20042,When to Stop? Towards Efficient Code Generation in LLMs with Excess Token Prevention,2024,ISSTA,3b-EarlyExit
2408_11198,Automated Prompt Engineering for Cost-Effective Code Generation Using Evolutionary Algorithm,2024,arXiv preprint,3n-PromptEng
