ID,Key,Title,Year,Venue,Venue Type,Source,RQ,Primary Categories,Secondary Categories,QA Total
S037,2409_02326,Arctic-SnowCoder: Demystifying High-Quality Data in Code Pretraining,2024,arXiv preprint,preprint,supplementary-rq1,RQ1,1a-DataSelection; 1b-DataQuality,,3
S038,2409_16416,Selection of Prompt Engineering Techniques for Code Generation through Predicting Code Complexity,2024,arXiv preprint,preprint,database,RQ3,3n-PromptEng,,3
S039,2410_08391,KV Prediction for Improved Time to First Token,2024,arXiv preprint,preprint,database,RQ3,3f-KVCache,,3
S040,2410_14766,Evaluating Quantized Large Language Models for Code Generation on Low-Resource Language Benchmarks,2024,J. Comput. Lang.,journal,database,RQ3; RQ4,3g-PTQ; 4b-EmpiricalStudy,,3.5
S041,2410_18194,ZIP-FIT: Embedding-Free Data Selection via Compression-Based Alignment,2024,arXiv preprint,preprint,database,RQ1,1a-DataSelection,,3
S042,2410_22480,Scaling LLM Inference with Optimized Sample Compute Allocation,2024,arXiv preprint,preprint,database,RQ3,3j-Sampling,,3
S043,2410_22793,Less is More: DocString Compression in Code Generation,2024,arXiv preprint,preprint,database,RQ3,3d-PromptCompression,,3
S044,2411_00005,Mastering the Craft of Data Synthesis for CodeLLMs,2024,NAACL,conference,supplementary-rq1,RQ1,1b-DataQuality,,3
S045,2411_04905,OpenCoder: The Open Cookbook for Top-Tier Code Large Language Models,2024,arXiv preprint,preprint,supplementary-rq1,RQ1,1a-DataSelection; 1b-DataQuality,,3
S046,2411_05010,Scattered Forest Search: Smarter Code Space Exploration with LLMs,2024,arXiv preprint,preprint,database,RQ3,3j-Sampling,,3
S047,2411_06680,"Anchor Attention, Small Cache: Code Generation with Large Language Models",2024,IEEE Trans. Software Eng.,journal,database,RQ3,3f-KVCache,,3.5
S048,2411_11055,FastDraft: How to Train Your Draft,2024,ACL,conference,database,RQ3,3a-SpeculativeDecoding,,3.5
S049,2412_15441,Insights into resource utilization of code small language models serving with runtime engines and execution providers,2024,J. Syst. Softw.,journal,database,RQ3; RQ4,4b-EmpiricalStudy; 3m-SystemOpt,,3
S050,2412_16589,Improving FIM Code Completions via Context \& Curriculum Based Learning,2024,WSDM,conference,database,RQ2,2d-CurriculumLearning; 2b-PEFT,,3.5
S051,2503_02951,"KodCode: A Diverse, Challenging, and Verifiable Synthetic Dataset for Coding",2024,ACL,conference,supplementary-rq1,RQ1,1b-DataQuality,,3
S052,Jiang2024seed,SEED: Customize Large Language Models with Sample-Efficient Adaptation for Code Generation,2024,arXiv preprint,preprint,supplementary-rq1,RQ1,1a-DataSelection,,3
S053,arxiv_2403_00046,Exploring Data-Efficient Adaptation of Large Language Models for Code Generation,2024,ACM Transactions on Software Engineering and Methodology,journal,snowball-forward,RQ1,1a-DataSelection,,3.5
S054,arxiv_2404_02183,Self-Organized Agents: A LLM Multi-Agent Framework toward Ultra Large-Scale Code Generation and Optimization,2024,arXiv preprint,preprint,snowball-backward,RQ3,3k-MultiAgent,,2.5
S055,arxiv_2408_06450,Evaluating Language Models for Efficient Code Generation,2024,arXiv preprint,preprint,snowball-backward,RQ4,4b-EmpiricalStudy,,3
S056,arxiv_2410_00558,AMR-Evol: Adaptive Modular Response Evolution Elicits Better Knowledge Distillation for Large Language Models in Code Generation,2024,Conference on Empirical Methods in Natural Language Processing,conference,snowball-forward,RQ2,2c-Distillation,,4
S057,doi_10_48550_arXiv_2402_07844,Mercury: An Efficiency Benchmark for LLM Code Synthesis,2024,arXiv preprint,preprint,snowball-backward,RQ4,4a-Benchmark,,3.5
S058,ss_Zhang2024llm,LLM-Cloud Complete: Leveraging Cloud Computing for Efficient Large Language Model-based Code Completion,2024,Journal of Artificial Intelligence General science (JAIGS) ISSN:3006-4023,journal,database,RQ3,3m-SystemOpt,,3.5
S059,2501_01054,Dynamic Scaling of Unit Tests for Code Reward Modeling,2025,ACL,conference,database,RQ2,2f-RLTraining,3j-Sampling,3.5
S060,2501_05248,Deriving Coding-Specific Sub-Models from LLMs using Resource-Efficient Pruning,2025,LLM4Code@ICSE,conference,database,RQ3,3h-ModelPruning,,3.5
S061,2501_05899,Prompt engineering and its implications on the energy consumption of Large Language Models,2025,GREENS@ICSE,conference,database,RQ3; RQ4,3n-PromptEng; 4b-EmpiricalStudy,,3.5
S062,2501_11006,GREEN-CODE: Learning to Optimize Energy Efficiency in LLM-based Code Generation,2025,"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",conference,database,RQ3,3b-EarlyExit,,3.5
S063,2501_18653,"Cogito, ergo sum: A Neurobiologically-Inspired Cognition-Memory-Growth System for Code Generation",2025,arXiv preprint,preprint,database,RQ3,3k-MultiAgent,,2.5
S064,2501_18657,Enhancing Large Language Model Efficiencyvia Symbolic Compression: A Formal Approach Towards Interpretability,2025,arXiv preprint,preprint,database,RQ2; RQ3,3d-PromptCompression; 2b-PEFT,,3
S065,2502_17139,FastCoder: Accelerating Repository-level Code Generation via Efficient Retrieval and Verification,2025,ASE,conference,database,RQ3,3e-ContextPruning; 3l-CodeSpecific,,4
S066,2503_07103,Evaluating the Impact of Post-Training Quantization on Large Language Models for Code Generation,2025,arXiv preprint,preprint,database,RQ3; RQ4,3g-PTQ; 4b-EmpiricalStudy,,2.5
S067,2503_17793,Every Sample Matters: Leveraging Mixture-of-Experts and High-Quality Data for Efficient and Accurate Code LLM,2025,arXiv preprint,preprint,database,RQ1; RQ2,1a-DataSelection; 1b-DataQuality; 2a-EfficientPretrain,,3
S068,2503_19876,SLA-Awareness for AI-assisted coding,2025,arXiv preprint,preprint,database,RQ3,3m-SystemOpt,,3
S069,2504_00019,ObscuraCoder: Powering Efficient Code LM Pre-Training Via Obfuscation Grounding,2025,arXiv preprint,preprint,supplementary-rq1,RQ1; RQ2,1b-DataQuality; 2a-EfficientPretrain,,3
S070,2504_03723,VFlow: Discovering Optimal Agentic Workflows for Verilog Generation,2025,arXiv preprint,preprint,database,RQ3,3k-MultiAgent,,3.5
S071,2504_12687,Data-efficient LLM Fine-tuning for Code Generation,2025,IJCNN,conference,database,RQ1; RQ2,1a-DataSelection; 2a-EfficientPretrain,,3.5
S072,2504_14560,ReasoningV: Efficient Verilog Code Generation with Adaptive Hybrid Reasoning Model,2025,arXiv preprint,preprint,database,RQ2; RQ3,3o-CoTOpt; 2b-PEFT,,3
S073,2505_01572,PipeSpec: Breaking Stage Dependencies in Hierarchical LLM Decoding,2025,ACL,conference,database,RQ3,3a-SpeculativeDecoding,,3.5
S074,2505_02881,Rewriting Pre-Training Data Boosts LLM Performance in Math and Code,2025,arXiv preprint,preprint,supplementary-rq1,RQ1,1b-DataQuality,,3
S075,2505_14174,"Cheaper, Better, Faster, Stronger: Robust Text-to-SQL without Chain-of-Thought or Fine-Tuning",2025,arXiv preprint,preprint,database,RQ3,3n-PromptEng; 3j-Sampling,,3
S076,2505_20182,An Empirical Study on Strong-Weak Model Collaboration for Repo-level Code Generation,2025,EMNLP,conference,database,RQ3,3i-Routing,,3
S077,2506_01604,Exploring Prompt Patterns in AI-Assisted Code Generation: Towards Faster and More Effective Developer-AI Collaboration,2025,International Conference on Multimodal Interaction,conference,database,RQ3; RQ4,3n-PromptEng; 4b-EmpiricalStudy,,3.5
S078,2506_03524,Seed-Coder: Let the Code Model Curate Data for Itself,2025,arXiv preprint,preprint,supplementary-rq1,RQ1,1a-DataSelection; 1b-DataQuality,,3
S079,2506_10525,AdaptiveLLM: A Framework for Selecting Optimal Cost-Efficient LLM for Code-Generation Based on CoT Length,2025,Internetware,conference,database,RQ3,3i-Routing,,3
S080,2506_18796,Context-Aware CodeLLM Eviction for AI-assisted Coding,2025,ASE,conference,database,RQ3,3m-SystemOpt,,3.5
S081,2508_03258,SmartLLMs Scheduler: A Framework for Cost-Effective LLMs Utilization,2025,arXiv preprint,preprint,database,RQ3,3m-SystemOpt; 3i-Routing,,2.5
S082,2508_05970,Impact-driven Context Filtering For Cross-file Code Completion,2025,arXiv preprint,preprint,database,RQ3,3e-ContextPruning,,2.5
S083,2508_13666,The Hidden Cost of Readability: How Code Formatting Silently Consumes Your LLM Budget,2025,arXiv preprint,preprint,database,RQ3; RQ4,3l-CodeSpecific; 4b-EmpiricalStudy,,2.5
S084,2509_07858,SCoder: Iterative Self-Distillation for Bootstrapping Small-Scale Data Synthesizers to Empower Code LLMs,2025,arXiv preprint,preprint,supplementary-rq1,RQ1; RQ2,1b-DataQuality; 2c-Distillation,,3
S085,2509_09947,Toward Green Code: Prompting Small Language Models for Energy-Efficient Code Generation,2025,FLLM,conference,database,RQ3; RQ4,3n-PromptEng; 4b-EmpiricalStudy,,3.5
